date,AAPL,MSFT,NFLX,GOOGL
2023-02-08,-1.7653,-0.3102,1.0690,-7.4417
2023-02-09,-0.6912,-1.1660,-1.1804,-4.5400
2023-02-10,0.0928,-0.1973,-4.1766,-0.6285
2023-02-13,1.8807,3.1243,3.2272,0.1476
2023-02-14,-0.4225,0.3133,0.3877,-0.0526
2023-02-15,1.3903,-1.0471,0.4056,2.2643
2023-02-16,-1.0429,-2.6623,-2.9633,-1.3594
2023-02-17,-0.7547,-1.5602,-0.7841,-1.2424
2023-02-21,-2.6680,-2.0887,-3.0061,-2.6853
2023-02-22,0.2896,-0.4591,-0.7763,-0.2716
2023-02-23,0.3291,1.2962,-3.3534,-0.7952
2023-02-24,-1.8005,-2.1784,-2.0083,-1.8887
2023-02-27,0.8248,0.3772,1.8540,0.8394
2023-02-28,-0.3448,-0.2958,-0.2786,0.2220
2023-03-01,-1.4246,-1.2629,-2.6853,0.2326
2023-03-02,0.4129,1.9653,-0.5104,1.9887
2023-03-03,3.5090,1.6646,1.0581,1.8525
2023-03-06,1.8539,0.6189,-0.9994,1.6592
2023-03-07,-1.4497,-1.0589,-1.1409,-1.4752
2023-03-08,0.8377,-0.1771,1.0763,0.5097
2023-03-09,-1.4915,-0.5439,-4.4934,-2.1025
2023-03-10,-1.3879,-1.4783,-1.6858,-1.7807
2023-03-13,1.3266,2.1441,0.2562,0.7142
2023-03-14,1.4089,2.7056,0.4872,2.8257
2023-03-15,0.2621,1.7830,3.0006,2.4403
2023-03-16,1.8694,4.0536,2.0639,4.6815
2023-03-17,-0.5454,1.1694,-2.1157,1.3753
2023-03-20,1.5484,-2.5767,0.5371,-0.5173
2023-03-21,1.1944,0.5694,0.2163,3.8360
2023-03-22,-0.9103,-0.5442,-3.8883,-1.5306
2023-03-23,0.6970,1.9722,9.0065,1.9574
2023-03-24,0.8306,1.0480,2.5034,-0.1882
2023-03-27,-1.2293,-1.4934,-0.2223,-2.8286
2023-03-28,-0.3980,-0.4161,-1.2635,-1.6495
2023-03-29,1.9791,1.9184,2.6304,0.5328
2023-03-30,0.9890,1.2620,1.9275,-0.5692
2023-03-31,1.5644,1.4962,2.0831,2.6451
2023-04-03,0.7702,-0.3711,0.8105,0.8750
2023-04-04,-0.3250,-0.0174,-0.4393,0.2002
2023-04-05,-1.1290,-0.9889,-1.2689,-0.1617
2023-04-06,0.5496,2.5533,-0.8821,3.7637
2023-04-10,-1.5972,-0.7579,-0.1002,-1.7906
2023-04-11,-0.7591,-2.2668,-0.2301,-0.7761
2023-04-12,-0.4353,0.2334,-2.1229,-0.8481
2023-04-13,3.4104,2.2399,4.5796,2.8227
2023-04-14,-0.2114,-1.2766,-2.1838,1.1739
2023-04-17,0.0121,0.9296,-1.7453,-2.7773
2023-04-18,0.7505,-0.1489,0.2945,-1.2216
2023-04-19,0.6968,0.0277,-3.1705,-0.0951
2023-04-20,-0.5846,-0.8112,0.6901,0.8379
2023-04-21,-0.9781,-0.1223,0.8084,0.0094
2023-04-24,0.1879,-1.3963,0.3171,0.8215
2023-04-25,-0.9436,-2.2536,-1.9664,-2.0322
2023-04-26,-0.0061,7.2435,-0.4340,-0.1529
2023-04-27,2.8395,3.2028,1.4635,3.7530
2023-04-28,0.7541,0.7972,1.2521,-0.1384
2023-05-01,-0.0530,-0.5533,-1.7610,-0.4713
2023-05-02,-0.6191,-0.0491,-2.0270,-1.6062
2023-05-03,-0.6467,-0.3307,0.5511,0.1321
2023-05-04,-0.9913,0.3318,0.4635,-0.8575
2023-05-05,4.6927,1.7157,0.6172,0.9505
