ticker,date,close_price,peak_price,drawdown_pct
AAPL,2023-02-07,154.65,154.65,0.00
AAPL,2023-02-08,151.92,154.65,-1.77
AAPL,2023-02-09,150.87,154.65,-2.44
AAPL,2023-02-10,151.01,154.65,-2.35
AAPL,2023-02-13,153.85,154.65,-0.52
AAPL,2023-02-14,153.20,154.65,-0.94
AAPL,2023-02-15,155.33,155.33,0.00
AAPL,2023-02-16,153.71,155.33,-1.04
AAPL,2023-02-17,152.55,155.33,-1.79
AAPL,2023-02-21,148.48,155.33,-4.41
AAPL,2023-02-22,148.91,155.33,-4.13
AAPL,2023-02-23,149.40,155.33,-3.82
AAPL,2023-02-24,146.71,155.33,-5.55
AAPL,2023-02-27,147.92,155.33,-4.77
AAPL,2023-02-28,147.41,155.33,-5.10
AAPL,2023-03-01,145.31,155.33,-6.45
AAPL,2023-03-02,145.91,155.33,-6.06
AAPL,2023-03-03,151.03,155.33,-2.77
AAPL,2023-03-06,153.83,155.33,-0.97
AAPL,2023-03-07,151.60,155.33,-2.40
AAPL,2023-03-08,152.87,155.33,-1.58
AAPL,2023-03-09,150.59,155.33,-3.05
AAPL,2023-03-10,148.50,155.33,-4.40
AAPL,2023-03-13,150.47,155.33,-3.13
AAPL,2023-03-14,152.59,155.33,-1.76
AAPL,2023-03-15,152.99,155.33,-1.51
AAPL,2023-03-16,155.85,155.85,0.00
AAPL,2023-03-17,155.00,155.85,-0.55
AAPL,2023-03-20,157.40,157.40,0.00
AAPL,2023-03-21,159.28,159.28,0.00
AAPL,2023-03-22,157.83,159.28,-0.91
AAPL,2023-03-23,158.93,159.28,-0.22
AAPL,2023-03-24,160.25,160.25,0.00
AAPL,2023-03-27,158.28,160.25,-1.23
AAPL,2023-03-28,157.65,160.25,-1.62
AAPL,2023-03-29,160.77,160.77,0.00
AAPL,2023-03-30,162.36,162.36,0.00
AAPL,2023-03-31,164.90,164.90,0.00
AAPL,2023-04-03,166.17,166.17,0.00
AAPL,2023-04-04,165.63,166.17,-0.32
AAPL,2023-04-05,163.76,166.17,-1.45
AAPL,2023-04-06,164.66,166.17,-0.91
AAPL,2023-04-10,162.03,166.17,-2.49
AAPL,2023-04-11,160.80,166.17,-3.23
AAPL,2023-04-12,160.10,166.17,-3.65
AAPL,2023-04-13,165.56,166.17,-0.37
AAPL,2023-04-14,165.21,166.17,-0.58
AAPL,2023-04-17,165.23,166.17,-0.57
AAPL,2023-04-18,166.47,166.47,0.00
AAPL,2023-04-19,167.63,167.63,0.00
AAPL,2023-04-20,166.65,167.63,-0.58
AAPL,2023-04-21,165.02,167.63,-1.56
AAPL,2023-04-24,165.33,167.63,-1.37
AAPL,2023-04-25,163.77,167.63,-2.30
AAPL,2023-04-26,163.76,167.63,-2.31
AAPL,2023-04-27,168.41,168.41,0.00
AAPL,2023-04-28,169.68,169.68,0.00
AAPL,2023-05-01,169.59,169.68,-0.05
AAPL,2023-05-02,168.54,169.68,-0.67
AAPL,2023-05-03,167.45,169.68,-1.31
AAPL,2023-05-04,165.79,169.68,-2.29
AAPL,2023-05-05,173.57,173.57,0.00
GOOG,2023-02-07,108.04,108.04,0.00
GOOG,2023-02-08,100.00,108.04,-7.44
GOOG,2023-02-09,95.46,108.04,-11.64
GOOG,2023-02-10,94.86,108.04,-12.20
GOOG,2023-02-13,95.00,108.04,-12.07
GOOG,2023-02-14,94.95,108.04,-12.12
GOOG,2023-02-15,97.10,108.04,-10.13
GOOG,2023-02-16,95.78,108.04,-11.35
GOOG,2023-02-17,94.59,108.04,-12.45
GOOG,2023-02-21,92.05,108.04,-14.80
GOOG,2023-02-22,91.80,108.04,-15.03
GOOG,2023-02-23,91.07,108.04,-15.71
GOOG,2023-02-24,89.35,108.04,-17.30
GOOG,2023-02-27,90.10,108.04,-16.60
GOOG,2023-02-28,90.30,108.04,-16.42
GOOG,2023-03-01,90.51,108.04,-16.23
GOOG,2023-03-02,92.31,108.04,-14.56
GOOG,2023-03-03,94.02,108.04,-12.98
GOOG,2023-03-06,95.58,108.04,-11.53
GOOG,2023-03-07,94.17,108.04,-12.84
GOOG,2023-03-08,94.65,108.04,-12.39
GOOG,2023-03-09,92.66,108.04,-14.24
GOOG,2023-03-10,91.01,108.04,-15.76
GOOG,2023-03-13,91.66,108.04,-15.16
GOOG,2023-03-14,94.25,108.04,-12.76
GOOG,2023-03-15,96.55,108.04,-10.63
GOOG,2023-03-16,101.07,108.04,-6.45
GOOG,2023-03-17,102.46,108.04,-5.16
GOOG,2023-03-20,101.93,108.04,-5.66
GOOG,2023-03-21,105.84,108.04,-2.04
GOOG,2023-03-22,104.22,108.04,-3.54
