ticker,date,volatility_20day
AAPL,2023-02-08,0
AAPL,2023-02-09,0.537
AAPL,2023-02-10,0.7616
AAPL,2023-02-13,1.3305
AAPL,2023-02-14,1.1962
AAPL,2023-02-15,1.2391
AAPL,2023-02-16,1.2127
AAPL,2023-02-17,1.1561
AAPL,2023-02-21,1.3444
AAPL,2023-02-22,1.2941
AAPL,2023-02-23,1.2501
AAPL,2023-02-24,1.2662
AAPL,2023-02-27,1.2617
AAPL,2023-02-28,1.2158
AAPL,2023-03-01,1.2056
AAPL,2023-03-02,1.1841
AAPL,2023-03-03,1.4651
AAPL,2023-03-06,1.4945
AAPL,2023-03-07,1.4893
AAPL,2023-03-08,1.4658
AAPL,2023-03-09,1.4508
AAPL,2023-03-10,1.4744
AAPL,2023-03-13,1.5053
AAPL,2023-03-14,1.479
AAPL,2023-03-15,1.4775
AAPL,2023-03-16,1.5034
AAPL,2023-03-17,1.4895
AAPL,2023-03-20,1.5115
AAPL,2023-03-21,1.3777
AAPL,2023-03-22,1.4053
AAPL,2023-03-23,1.408
AAPL,2023-03-24,1.3242
AAPL,2023-03-27,1.3701
AAPL,2023-03-28,1.3715
AAPL,2023-03-29,1.3523
AAPL,2023-03-30,1.3559
AAPL,2023-03-31,1.2007
AAPL,2023-04-03,1.1597
AAPL,2023-04-04,1.0944
AAPL,2023-04-05,1.1424
AAPL,2023-04-06,1.0616
AAPL,2023-04-10,1.0805
AAPL,2023-04-11,1.0908
AAPL,2023-04-12,1.0743
AAPL,2023-04-13,1.2766
AAPL,2023-04-14,1.2371
AAPL,2023-04-17,1.224
AAPL,2023-04-18,1.1962
AAPL,2023-04-19,1.1822
AAPL,2023-04-20,1.1681
AAPL,2023-04-21,1.1949
AAPL,2023-04-24,1.186
AAPL,2023-04-25,1.1707
AAPL,2023-04-26,1.1642
AAPL,2023-04-27,1.2425
AAPL,2023-04-28,1.2365
AAPL,2023-05-01,1.1988
AAPL,2023-05-02,1.2009
AAPL,2023-05-03,1.2083
AAPL,2023-05-04,1.2019
AAPL,2023-05-05,1.5682
GOOG,2023-02-08,0
GOOG,2023-02-09,1.4508
GOOG,2023-02-10,2.7916
GOOG,2023-02-13,3.0651
GOOG,2023-02-14,3.0028
GOOG,2023-02-15,3.2666
GOOG,2023-02-16,3.0267
GOOG,2023-02-17,2.8346
GOOG,2023-02-21,2.6939
GOOG,2023-02-22,2.5927
GOOG,2023-02-23,2.4823
GOOG,2023-02-24,2.3789
GOOG,2023-02-27,2.372
GOOG,2023-02-28,2.3217
GOOG,2023-03-01,2.273
GOOG,2023-03-02,2.328
GOOG,2023-03-03,2.3529
GOOG,2023-03-06,2.3542
GOOG,2023-03-07,2.2988
GOOG,2023-03-08,2.2558
GOOG,2023-03-09,1.6756
GOOG,2023-03-10,1.4205
GOOG,2023-03-13,1.4317
GOOG,2023-03-14,1.5726
GOOG,2023-03-15,1.6619
GOOG,2023-03-16,1.8876
GOOG,2023-03-17,1.8674
GOOG,2023-03-20,1.8429
GOOG,2023-03-21,1.8466
GOOG,2023-03-22,1.8999
GOOG,2023-03-23,1.8896
GOOG,2023-03-24,1.8034
GOOG,2023-03-27,1.9761
GOOG,2023-03-28,2.0395
GOOG,2023-03-29,2.0379
GOOG,2023-03-30,2.0279
GOOG,2023-03-31,2.0616
GOOG,2023-04-03,2.0471
GOOG,2023-04-04,1.9988
GOOG,2023-04-05,2.0052
GOOG,2023-04-06,2.0265
GOOG,2023-04-10,2.0271
GOOG,2023-04-11,2.0572
GOOG,2023-04-12,2.028
GOOG,2023-04-13,2.0472
GOOG,2023-04-14,1.8278
GOOG,2023-04-17,1.9395
GOOG,2023-04-18,1.9587
GOOG,2023-04-19,1.7693
GOOG,2023-04-20,1.7436
GOOG,2023-04-21,1.6904
GOOG,2023-04-24,1.6992
GOOG,2023-04-25,1.6396
GOOG,2023-04-26,1.592
GOOG,2023-04-27,1.7737
GOOG,2023-04-28,1.7654
GOOG,2023-05-01,1.6915
GOOG,2023-05-02,1.7273
GOOG,2023-05-03,1.7271
GOOG,2023-05-04,1.7382
GOOG,2023-05-05,1.5317
MSFT,2023-02-08,0
MSFT,2023-02-09,0.4279
MSFT,2023-02-10,0.4325
MSFT,2023-02-13,1.6378
MSFT,2023-02-14,1.465
MSFT,2023-02-15,1.4356
MSFT,2023-02-16,1.6474
MSFT,2023-02-17,1.5983
MSFT,2023-02-21,1.5937
MSFT,2023-02-22,1.5127
MSFT,2023-02-23,1.5424
MSFT,2023-02-24,1.5536
MSFT,2023-02-27,1.5142
MSFT,2023-02-28,1.4601
MSFT,2023-03-01,1.4237
MSFT,2023-03-02,1.5061
MSFT,2023-03-03,1.5386
MSFT,2023-03-06,1.5089
MSFT,2023-03-07,1.4807
MSFT,2023-03-08,1.4433
MSFT,2023-03-09,1.4446
MSFT,2023-03-10,1.4559
MSFT,2023-03-13,1.5492
MSFT,2023-03-14,1.5069
MSFT,2023-03-15,1.5642
MSFT,2023-03-16,1.7905
MSFT,2023-03-17,1.6819
MSFT,2023-03-20,1.7523
MSFT,2023-03-21,1.666
MSFT,2023-03-22,1.6684
MSFT,2023-03-23,1.6926
MSFT,2023-03-24,1.5852
MSFT,2023-03-27,1.6498
MSFT,2023-03-28,1.653
MSFT,2023-03-29,1.6279
MSFT,2023-03-30,1.6069
MSFT,2023-03-31,1.6019
MSFT,2023-04-03,1.6165
MSFT,2023-04-04,1.5794
MSFT,2023-04-05,1.6097
MSFT,2023-04-06,1.6423
MSFT,2023-04-10,1.6006
MSFT,2023-04-11,1.6978
MSFT,2023-04-12,1.6252
MSFT,2023-04-13,1.6471
MSFT,2023-04-14,1.4642
MSFT,2023-04-17,1.457
MSFT,2023-04-18,1.3171
MSFT,2023-04-19,1.3168
MSFT,2023-04-20,1.3263
MSFT,2023-04-21,1.2681
MSFT,2023-04-24,1.2934
MSFT,2023-04-25,1.3476
MSFT,2023-04-26,2.0714
MSFT,2023-04-27,2.1371
MSFT,2023-04-28,2.1305
MSFT,2023-05-01,2.1254
MSFT,2023-05-02,2.1213
MSFT,2023-05-03,2.125
MSFT,2023-05-04,2.1039
MSFT,2023-05-05,2.0683
NFLX,2023-02-08,0
NFLX,2023-02-09,1.1247
NFLX,2023-02-10,2.1487
NFLX,2023-02-13,2.7438
NFLX,2023-02-14,2.468
NFLX,2023-02-15,2.2619
NFLX,2023-02-16,2.3299
NFLX,2023-02-17,2.1821
NFLX,2023-02-21,2.2027
NFLX,2023-02-22,2.0896
NFLX,2023-02-23,2.1253
NFLX,2023-02-24,2.0533
NFLX,2023-02-27,2.1237
NFLX,2023-02-28,2.0521
NFLX,2023-03-01,2.0359
NFLX,2023-03-02,1.9742
NFLX,2023-03-03,1.9712
NFLX,2023-03-06,1.9162
NFLX,2023-03-07,1.8664
NFLX,2023-03-08,1.8663
NFLX,2023-03-09,1.9866
NFLX,2023-03-10,1.9918
NFLX,2023-03-13,1.8738
NFLX,2023-03-14,1.6609
NFLX,2023-03-15,1.8533
NFLX,2023-03-16,1.9416
NFLX,2023-03-17,1.9015
NFLX,2023-03-20,1.9204
NFLX,2023-03-21,1.8486
NFLX,2023-03-22,1.9928
NFLX,2023-03-23,2.8039
NFLX,2023-03-24,2.8158
NFLX,2023-03-27,2.7915
NFLX,2023-03-28,2.8066
NFLX,2023-03-29,2.7856
NFLX,2023-03-30,2.7997
NFLX,2023-03-31,2.8197
NFLX,2023-04-03,2.7991
NFLX,2023-04-04,2.7815
NFLX,2023-04-05,2.8093
NFLX,2023-04-06,2.5896
NFLX,2023-04-10,2.5395
NFLX,2023-04-11,2.5466
NFLX,2023-04-12,2.6221
NFLX,2023-04-13,2.7149
NFLX,2023-04-14,2.7649
NFLX,2023-04-17,2.7487
NFLX,2023-04-18,2.749
NFLX,2023-04-19,2.8623
NFLX,2023-04-20,2.6952
NFLX,2023-04-21,1.876
NFLX,2023-04-24,1.7968
NFLX,2023-04-25,1.8483
NFLX,2023-04-26,1.8301
NFLX,2023-04-27,1.762
NFLX,2023-04-28,1.7294
NFLX,2023-05-01,1.6879
NFLX,2023-05-02,1.7073
NFLX,2023-05-03,1.7211
NFLX,2023-05-04,1.7186
NFLX,2023-05-05,1.7247
