ticker,date,close_price,daily_return_pct
GOOG,2023-02-08,100.00,-7.4417
GOOG,2023-02-09,95.46,-4.5400
NFLX,2023-03-09,297.78,-4.4934
NFLX,2023-02-10,347.36,-4.1766
NFLX,2023-03-22,293.90,-3.8883
NFLX,2023-02-23,323.65,-3.3534
NFLX,2023-04-19,323.12,-3.1705
NFLX,2023-02-21,337.50,-3.0061
NFLX,2023-02-16,350.71,-2.9633
GOOG,2023-03-27,103.06,-2.8286
GOOG,2023-04-17,106.42,-2.7773
GOOG,2023-02-21,92.05,-2.6853
NFLX,2023-03-01,313.48,-2.6853
AAPL,2023-02-21,148.48,-2.6680
MSFT,2023-02-16,262.15,-2.6623
MSFT,2023-03-20,272.23,-2.5767
MSFT,2023-04-11,282.83,-2.2668
MSFT,2023-04-25,275.42,-2.2536
NFLX,2023-04-14,338.63,-2.1838
MSFT,2023-02-24,249.22,-2.1784
